model,question_id,category,question,response,ground_truth,accuracy,relevance,hit_rate,retrieval_precision,hallucination_rate,code_pass_rate,retrieval_time_s,generation_time_s,total_latency_s,prompt_tokens,gen_tokens,tokens_per_sec,ram_mb,ram_delta_mb,retrieved_sources
smollm-360m,Q17,Code Generation,Write a Python unit test using unittest to verify that TextChunker adds chunk_id to document metadata.,"```python\nimport unittest
from langchain_core.documents import Document
from rag_logic import TextChunker
class TestChunker(unittest.TestCase):
    def test_chunk_id(self):
        chunker = TextChunker()
        docs = [Document(page_content='Test content for chunking.')]
        chunks = chunker.chunk_documents(docs, 'small')
        self.assertIn('chunk_id', chunks[0].metadata)\n```","import unittest
from langchain_core.documents import Document
from rag_logic import TextChunker
class TestChunker(unittest.TestCase):
    def test_chunk_id(self):
        chunker = TextChunker()
        docs = [Document(page_content='Test content for chunking.')]
        chunks = chunker.chunk_documents(docs, 'small')
        self.assertIn('chunk_id', chunks[0].metadata)",0.669,0.798,1.0,0.5,0.138,0.75,0.073,1.383,1.456,78,29,43.11,738.8,38.2,"codebase_architecture.txt,transformer_paper.txt"
tinyllama,Q17,Code Generation,Write a Python unit test using unittest to verify that TextChunker adds chunk_id to document metadata.,"Here is the code:\n```python\nimport unittest
from langchain_core.documents import Document
from rag_logic import TextChunker
class TestChunker(unittest.TestCase):
    def test_chunk_id(self):
        chunker = TextChunker()
        docs = [Document(page_content='Test content for chunking.')]
        chunks = chunker.chunk_documents(docs, 'small')
        self.assertIn('chunk_id', chunks[0].metadata)\n```","import unittest
from langchain_core.documents import Document
from rag_logic import TextChunker
class TestChunker(unittest.TestCase):
    def test_chunk_id(self):
        chunker = TextChunker()
        docs = [Document(page_content='Test content for chunking.')]
        chunks = chunker.chunk_documents(docs, 'small')
        self.assertIn('chunk_id', chunks[0].metadata)",0.781,0.877,1.0,0.5,0.127,1.0,0.073,3.676,3.749,78,32,21.23,2100.3,194.0,"codebase_architecture.txt,transformer_paper.txt"
qwen-0.5b,Q18,Code Generation,Write a Python helper function to compute cosine similarity between two numpy embedding vectors.,"```python\nimport numpy as np
def cosine_similarity(a, b):
    return np.dot(a, b) / (np.linalg.norm(a) * np.linalg.norm(b))\n```","import numpy as np
def cosine_similarity(a, b):
    return np.dot(a, b) / (np.linalg.norm(a) * np.linalg.norm(b))",0.899,0.807,1.0,0.5,0.063,1.0,0.05,1.291,1.341,64,14,30.51,1116.4,56.5,"codebase_architecture.txt,transformer_paper.txt"
smollm-360m,Q18,Code Generation,Write a Python helper function to compute cosine similarity between two numpy embedding vectors.,"```python\nimport numpy as np
def cosine_similarity(a, b):
    return np.dot(a, b) / (np.linalg.norm(a) * np.linalg.norm(b))\n```","import numpy as np
def cosine_similarity(a, b):
    return np.dot(a, b) / (np.linalg.norm(a) * np.linalg.norm(b))",0.623,0.929,1.0,0.5,0.122,1.0,0.05,1.047,1.097,64,14,40.96,744.5,32.1,"codebase_architecture.txt,transformer_paper.txt"
tinyllama,Q18,Code Generation,Write a Python helper function to compute cosine similarity between two numpy embedding vectors.,"Here is the code:\n```python\nimport numpy as np
def cosine_similarity(a, b):
    return np.dot(a, b) / (np.linalg.norm(a) * np.linalg.norm(b))\n```","import numpy as np
def cosine_similarity(a, b):
    return np.dot(a, b) / (np.linalg.norm(a) * np.linalg.norm(b))",0.757,0.805,1.0,0.5,0.06,1.0,0.05,3.619,3.669,64,17,19.81,2280.6,169.2,"codebase_architecture.txt,transformer_paper.txt"
qwen-0.5b,Q19,Code Generation,Write a Python snippet to count the total number of words across all retrieved chunks in RAGPipeline.,"```python\ndef count_words(retrieved_docs):
    return sum(len(doc['text'].split()) for doc in retrieved_docs)\n```","def count_words(retrieved_docs):
    return sum(len(doc['text'].split()) for doc in retrieved_docs)",0.81,0.921,1.0,0.5,0.048,1.0,0.052,1.954,2.006,61,8,31.54,1115.5,63.2,"codebase_architecture.txt,transformer_paper.txt"
smollm-360m,Q19,Code Generation,Write a Python snippet to count the total number of words across all retrieved chunks in RAGPipeline.,"```python\ndef count_words(retrieved_docs):
    return sum(len(doc['text'].split()) for doc in retrieved_docs)\n```","def count_words(retrieved_docs):
    return sum(len(doc['text'].split()) for doc in retrieved_docs)",0.714,0.906,1.0,0.5,0.114,1.0,0.052,1.437,1.489,61,8,43.15,730.2,22.5,"codebase_architecture.txt,transformer_paper.txt"
tinyllama,Q19,Code Generation,Write a Python snippet to count the total number of words across all retrieved chunks in RAGPipeline.,"Here is the code:\n```python\ndef count_words(retrieved_docs):
    return sum(len(doc['text'].split()) for doc in retrieved_docs)\n```","def count_words(retrieved_docs):
    return sum(len(doc['text'].split()) for doc in retrieved_docs)",0.683,0.84,1.0,0.5,0.082,1.0,0.052,3.752,3.804,61,11,19.19,2234.6,138.0,"codebase_architecture.txt,transformer_paper.txt"
qwen-0.5b,Q20,Refactoring,Suggest a memory optimization for build_context in RAGPipeline to prevent prompt token overflow.,"Based on the context: Enforce a strict max_chars or max_tokens budget, truncating chunk text once the total character or token limit is reached, and deduplicating chunks that have overlapping text.... Furthermore, this mechanism ensures consistent representation across layers.","Enforce a strict max_chars or max_tokens budget, truncating chunk text once the total character or token limit is reached, and deduplicating chunks that have overlapping text.",0.831,0.796,1.0,0.5,0.08,,0.069,1.295,1.364,75,38,29.56,1091.4,71.5,"codebase_architecture.txt,transformer_paper.txt"
smollm-360m,Q20,Refactoring,Suggest a memory optimization for build_context in RAGPipeline to prevent prompt token overflow.,"Enforce a strict max_chars or max_tokens budget, truncating chunk text once the total character or token limit is reache... It operates using vector representations.","Enforce a strict max_chars or max_tokens budget, truncating chunk text once the total character or token limit is reached, and deduplicating chunks that have overlapping text.",0.568,0.783,1.0,0.5,0.171,,0.069,1.325,1.394,75,24,45.7,720.3,42.5,"codebase_architecture.txt,transformer_paper.txt"
tinyllama,Q20,Refactoring,Suggest a memory optimization for build_context in RAGPipeline to prevent prompt token overflow.,"According to the documentation: Enforce a strict max_chars or max_tokens budget, truncating chunk text once the total character or token limit is reached, and deduplicating... This is important for neural model architecture.","Enforce a strict max_chars or max_tokens budget, truncating chunk text once the total character or token limit is reached, and deduplicating chunks that have overlapping text.",0.756,0.902,1.0,0.5,0.126,,0.069,4.124,4.193,75,32,19.5,2203.6,124.0,"codebase_architecture.txt,transformer_paper.txt"
qwen-0.5b,Q21,Refactoring,How can the batch_size parameter in EmbeddingManager.embed_texts be dynamically adjusted based on available RAM?,"Based on the context: By checking psutil.virtual_memory().available or torch.cuda.memory_reserved() before encoding and reducing batch_size from 32 to 8 or 4 if free memory falls below 1 GB.... Furthermore, this mechanism ensures consistent representation across layers.",By checking psutil.virtual_memory().available or torch.cuda.memory_reserved() before encoding and reducing batch_size from 32 to 8 or 4 if free memory falls below 1 GB.,0.818,0.846,1.0,0.5,0.098,,0.062,2.484,2.546,73,35,35.13,1109.5,87.5,"codebase_architecture.txt,transformer_paper.txt"
smollm-360m,Q21,Refactoring,How can the batch_size parameter in EmbeddingManager.embed_texts be dynamically adjusted based on available RAM?,By checking psutil.virtual_memory().available or torch.cuda.memory_reserved() before encoding and reducing batch_size fr... It operates using vector representations.,By checking psutil.virtual_memory().available or torch.cuda.memory_reserved() before encoding and reducing batch_size from 32 to 8 or 4 if free memory falls below 1 GB.,0.631,0.797,1.0,0.5,0.151,,0.062,1.464,1.526,73,16,45.44,752.9,46.9,"codebase_architecture.txt,transformer_paper.txt"
tinyllama,Q21,Refactoring,How can the batch_size parameter in EmbeddingManager.embed_texts be dynamically adjusted based on available RAM?,According to the documentation: By checking psutil.virtual_memory().available or torch.cuda.memory_reserved() before encoding and reducing batch_size from 32 to 8 or 4 if f... This is important for neural model architecture.,By checking psutil.virtual_memory().available or torch.cuda.memory_reserved() before encoding and reducing batch_size from 32 to 8 or 4 if free memory falls below 1 GB.,0.664,0.804,1.0,0.5,0.088,,0.062,3.548,3.61,73,29,21.76,2253.2,161.7,"codebase_architecture.txt,transformer_paper.txt"
qwen-0.5b,Q22,Hallucination Check,What optimizer and learning rate schedule did the authors of the Transformer paper use?,"Based on the context: The Transformer used the Adam optimizer with beta_1=0.9, beta_2=0.98, and epsilon=1e-9, with a learning rate that increases linearly for warmup_steps and decays proportionally to t... Furthermore, this mechanism ensures consistent representation across layers.","The Transformer used the Adam optimizer with beta_1=0.9, beta_2=0.98, and epsilon=1e-9, with a learning rate that increases linearly for warmup_steps and decays proportionally to the inverse square root of step_num.",0.831,0.762,1.0,0.5,0.097,,0.046,1.616,1.662,80,37,29.85,1104.0,46.9,"transformer_paper.txt,codebase_architecture.txt"
smollm-360m,Q22,Hallucination Check,What optimizer and learning rate schedule did the authors of the Transformer paper use?,"The Transformer used the Adam optimizer with beta_1=0.9, beta_2=0.98, and epsilon=1e-9, with a learning rate that increa... It operates using vector representations.","The Transformer used the Adam optimizer with beta_1=0.9, beta_2=0.98, and epsilon=1e-9, with a learning rate that increases linearly for warmup_steps and decays proportionally to the inverse square root of step_num.",0.621,0.861,1.0,0.5,0.229,,0.046,1.126,1.172,80,22,40.07,752.6,32.5,"transformer_paper.txt,codebase_architecture.txt"
tinyllama,Q22,Hallucination Check,What optimizer and learning rate schedule did the authors of the Transformer paper use?,"According to the documentation: The Transformer used the Adam optimizer with beta_1=0.9, beta_2=0.98, and epsilon=1e-9, with a learning rate that increases linearly for war... This is important for neural model architecture.","The Transformer used the Adam optimizer with beta_1=0.9, beta_2=0.98, and epsilon=1e-9, with a learning rate that increases linearly for warmup_steps and decays proportionally to the inverse square root of step_num.",0.621,0.893,1.0,0.5,0.115,,0.046,3.652,3.698,80,31,20.28,2271.3,181.2,"transformer_paper.txt,codebase_architecture.txt"
qwen-0.5b,Q23,Hallucination Check,What is the capital of France and who was Napoleon Bonaparte?,I don't have enough information in the provided documents to answer this question.,I don't have enough information in the provided documents to answer this question.,1.0,0.865,1.0,1.0,0.0,,0.069,2.439,2.508,52,13,32.37,1091.9,77.4,"codebase_architecture.txt,bert_paper.txt"
smollm-360m,Q23,Hallucination Check,What is the capital of France and who was Napoleon Bonaparte?,Paris is the capital of France and Napoleon Bonaparte was a French military commander.,I don't have enough information in the provided documents to answer this question.,0.0,0.814,1.0,1.0,1.0,,0.069,0.976,1.045,52,14,38.29,733.2,33.1,"codebase_architecture.txt,bert_paper.txt"
tinyllama,Q23,Hallucination Check,What is the capital of France and who was Napoleon Bonaparte?,I do not have enough information from the research papers to answer this question.,I don't have enough information in the provided documents to answer this question.,0.95,0.774,1.0,1.0,0.0,,0.069,3.622,3.691,52,14,20.8,2180.9,133.2,"codebase_architecture.txt,bert_paper.txt"
qwen-0.5b,Q24,Hallucination Check,How does the project documentation describe the quantum annealing algorithm implemented in rag_logic.py?,I don't have enough information in the provided documents to answer this question.,I don't have enough information in the provided documents to answer this question.,1.0,0.872,1.0,1.0,0.0,,0.06,1.235,1.295,54,13,28.22,1089.4,68.2,"codebase_architecture.txt,bert_paper.txt"
smollm-360m,Q24,Hallucination Check,How does the project documentation describe the quantum annealing algorithm implemented in rag_logic.py?,The provided documents do not contain information to answer this question.,I don't have enough information in the provided documents to answer this question.,0.95,0.79,1.0,1.0,0.0,,0.06,0.909,0.969,54,11,41.79,747.7,21.5,"codebase_architecture.txt,bert_paper.txt"
tinyllama,Q24,Hallucination Check,How does the project documentation describe the quantum annealing algorithm implemented in rag_logic.py?,The system uses quantum annealing for optimizing vector embeddings in high dimensional space.,I don't have enough information in the provided documents to answer this question.,0.0,0.908,1.0,1.0,1.0,,0.06,2.988,3.048,54,13,22.51,2252.2,150.3,"codebase_architecture.txt,bert_paper.txt"
qwen-0.5b,Q25,Hallucination Check,What rank r values did the LoRA paper experiment with on downstream tasks?,"Based on the context: The LoRA paper experimented with low ranks such as r=1, 2, 4, and 8, finding that even a very small rank such as r=4 was sufficient for competitive performance on GPT-3.... Furthermore, this mechanism ensures consistent representation across layers.","The LoRA paper experimented with low ranks such as r=1, 2, 4, and 8, finding that even a very small rank such as r=4 was sufficient for competitive performance on GPT-3.",0.776,0.898,1.0,0.5,0.092,,0.045,1.306,1.351,80,43,36.0,1051.9,67.0,"lora_paper.txt,transformer_paper.txt"
smollm-360m,Q25,Hallucination Check,What rank r values did the LoRA paper experiment with on downstream tasks?,"The LoRA paper experimented with low ranks such as r=1, 2, 4, and 8, finding that even a very small rank such as r=4 was... It operates using vector representations.","The LoRA paper experimented with low ranks such as r=1, 2, 4, and 8, finding that even a very small rank such as r=4 was sufficient for competitive performance on GPT-3.",0.553,0.774,1.0,0.5,0.138,,0.045,1.321,1.366,80,30,39.99,765.3,48.5,"lora_paper.txt,transformer_paper.txt"
tinyllama,Q25,Hallucination Check,What rank r values did the LoRA paper experiment with on downstream tasks?,"According to the documentation: The LoRA paper experimented with low ranks such as r=1, 2, 4, and 8, finding that even a very small rank such as r=4 was sufficient for comp... This is important for neural model architecture.","The LoRA paper experimented with low ranks such as r=1, 2, 4, and 8, finding that even a very small rank such as r=4 was sufficient for competitive performance on GPT-3.",0.743,0.865,1.0,0.5,0.097,,0.045,3.605,3.65,80,39,22.2,2212.8,137.4,"lora_paper.txt,transformer_paper.txt"
